time,accel x,accel y,accel z,gryo x,gyro y,gyro z
1515642457123,-0.8614197,1.6390839,7.831711,0.2708435,-0.047821045,0.44631958
1515642457225,-1.0265198,2.297104,7.9872437,-0.021148682,-0.12358093,0.34248352
1515642457327,-0.64845276,3.402588,8.200211,-0.13598633,-0.18832397,0.1543274
1515642457429,-0.122039795,3.4671936,12.672394,-0.29359436,-0.30682373,-0.2109375
1515642457532,-0.2679901,1.8137665,13.519455,-0.40841675,0.13052368,-0.80592346
1515642457635,1.7802582,2.670395,11.554947,0.6825714,-0.9103699,0.044387817
1515642457739,0.035888672,1.8879395,7.7312164,0.28182983,0.15740967,-0.42842102
1515642457842,-0.0382843,2.8618164,7.3938293,0.19874573,-0.18344116,-0.47239685
1515642457947,-0.6149597,3.625122,7.932205,0.006942749,0.07067871,0.071258545
1515642458048,-0.8422699,5.046463,8.752945,0.05581665,0.17817688,0.16288757
1515642458151,-1.8831482,4.914856,8.987442,0.18409729,0.7902527,0.34614563
1515642458253,-0.65802,3.5246277,10.289139,0.2500763,0.5960083,0.2862854
1515642458357,-0.9882355,2.1104736,10.157532,0.16821289,0.15985107,0.39990234
1515642458459,-0.25125122,2.5794678,8.516052,0.38446045,-0.12478638,0.541626
1515642458561,-0.08375549,3.328415,7.350754,0.26350403,-0.2506256,0.37425232
1515642458664,0.22970581,4.187439,7.9704895,-0.094436646,-0.040496826,0.04194641
1515642458768,-0.13877869,4.742569,9.310471,-0.276474,0.027923584,-0.15107727
1515642458870,1.9549408,4.9914246,11.877975,-0.6601105,-0.37402344,-0.6263275
1515642458973,0.9882355,3.826126,8.128418,0.07292175,-0.06858826,-0.21705627
1515642459076,1.552948,2.9001007,8.171494,0.041152954,-0.18832397,-0.67152405
1515642459180,0.26560974,2.864212,8.374878,0.1889801,-0.079589844,-0.5371399
1515642459283,0.21057129,3.9242249,8.310272,0.054595947,-0.15655518,-0.5298157
1515642459384,-0.62931824,4.273575,8.020737,0.06680298,-0.007507324,-0.31967163
1515642459488,0.071777344,4.639679,10.097717,-0.33389282,-0.039276123,-0.3245697
1515642459590,0.0382843,3.115448,12.210571,0.18409729,-0.38136292,-0.069229126
1515642459693,0.36610413,2.2181396,11.126633,0.1376648,-0.4607544,-0.12663269
1515642459798,0.9188385,2.6440735,8.867798,0.1889801,-0.21885681,-0.41618347
1515642459902,0.63648987,2.8283234,7.898712,0.060699463,-0.36668396,-0.7790375
1515642460005,0.90927124,4.163513,7.680954,0.12911987,-0.46931458,-1.2726288
1515642460109,-1.0791626,4.3166504,8.154739,-0.09199524,-0.147995,-1.7014465
1515642460214,-1.0193481,6.8602295,10.5308075,0.7253113,-1.0716248,-1.0918121
1515642460319,0.26081848,4.0701904,10.305893,0.4858551,0.14518738,-1.3898926
1515642460423,0.110076904,2.428711,7.7982025,0.4565277,-0.32514954,-0.6361084
1515642460528,1.179657,3.838089,7.716858,0.07292175,-0.48153687,-0.39053345
1515642460633,0.41874695,4.285553,7.314865,-0.06390381,-0.36058044,-0.4894867
1515642460734,-0.047851562,4.8071747,7.25264,-0.18852234,-0.12112427,-0.47239685
1515642460835,-0.49291992,5.7667084,7.00618,-0.26670837,-0.14311218,-0.22193909
1515642460937,-0.088531494,6.3218384,9.600006,-0.5159302,-0.34103394,-0.09609985
1515642461041,-0.62213135,4.2998962,11.844467,-0.28259277,0.7084198,-0.40641785
1515642461145,-1.2753754,2.0482635,9.011368,0.4039917,-0.056381226,0.22518921
1515642461249,-0.033493042,2.7062836,7.733597,0.1889801,-0.03805542,0.24351501
1515642461354,-0.34457397,2.9766693,7.5397797,-0.3766632,0.2331543,-0.031341553
1515642461460,-0.79441833,3.9194489,7.8843536,-0.23005676,0.10975647,-0.0056915283
1515642461563,-0.117248535,5.11586,10.415955,-0.30947876,-0.53163147,-0.07167053
1515642461668,0.31825256,4.2831573,11.760727,-0.17019653,-0.2604065,-0.4393921
1515642461769,-0.088531494,3.4624176,9.533005,0.13156128,-0.1663208,-0.13519287
1515642461871,0.41874695,2.6273193,8.355743,0.24639893,0.0499115,-0.23658752
1515642461974,0.028717041,3.041275,7.470398,0.39666748,-0.13945007,-0.10220337
1515642462079,0.052642822,4.0869446,7.939392,-0.04069519,0.003479004,-0.4235077
1515642462184,-0.98583984,4.6731873,8.934799,0.053359985,0.012039185,-0.124191284
1515642462287,-0.6795654,5.09671,9.918243,-0.07122803,0.07556152,0.10913086
1515642462393,-1.799408,3.2374878,8.030319,-0.19950867,0.5092621,0.14700317
1515642462498,-2.0075836,1.8975067,9.078369,-0.2129364,0.34677124,0.47076416
1515642462602,-1.0576324,2.445465,9.092728,0.016708374,0.35289,0.35714722
1515642462707,-1.1030884,2.835495,8.231308,-0.030914307,-0.072250366,0.12501526
1515642462809,-1.0169525,3.6849518,9.327225,0.08757019,-0.04660034,0.008956909
1515642462913,-0.90448,4.347763,10.5260315,-0.18118286,-0.2115326,-0.23049927
1515642463016,-0.6006012,3.0652008,11.921036,-0.3045807,-0.39479065,-0.8144684
1515642463119,0.6006012,2.9886322,9.064011,0.63124084,-0.77841187,-0.08755493
1515642463224,-0.6149597,2.1798553,7.520645,-0.06756592,0.13420105,-0.43574524
1515642463329,-0.47138977,3.1896362,7.2023926,-0.03213501,-0.17120361,-0.2928009
1515642463431,-1.1844482,3.981659,8.427521,-0.14941406,0.10487366,-0.20484924
1515642463535,-1.7658997,4.668396,9.008972,0.065582275,0.2966919,0.044387817
1515642463638,-1.8089752,4.721039,8.611771,-0.3070221,0.058441162,0.11035156
1515642463742,-2.297104,2.6990967,8.913269,0.16941833,0.48973083,0.5599518
1515642463847,-0.68673706,2.5339966,8.788834,0.4015503,-0.16143799,0.5782776
1515642463950,-0.7513428,2.7421722,8.819946,0.097351074,-0.21276855,0.36203003
1515642464053,-1.0001984,2.9431763,7.726425,-0.01626587,-0.08691406,0.12989807
1515642464155,-0.6149597,3.9314117,7.554138,-0.12010193,-0.14923096,-0.04966736
1515642464262,0.090927124,4.8837585,11.815765,-0.28379822,-0.38745117,-0.3282318
1515642464366,1.0839539,4.3238373,11.705688,-0.04801941,-0.49131775,-0.8853302
1515642464476,0.53359985,3.275772,7.7647095,0.34901428,-0.5389557,-0.5236969
1515642464578,0.052642822,2.5292206,8.860626,0.022827148,-0.3141632,-0.4711609
1515642464681,0.42114258,3.8739777,7.4967194,0.14012146,-0.31904602,-0.35632324
1515642464790,-0.35414124,4.2759705,7.7431793,-0.08833313,0.09265137,-0.67152405
1515642464893,-1.4165497,4.97229,8.719452,-0.1946106,0.012039185,-0.46139526
1515642465001,-1.9956207,4.943573,9.439682,-0.12620544,0.3174591,-0.07411194
1515642465105,-1.4045868,3.2949219,8.985046,0.36245728,1.0810394,-0.06311035
1515642465212,-0.42352295,2.292328,11.887543,0.13032532,-0.21765137,-0.13397217
1515642465315,-0.6077728,2.8809662,8.195419,0.46264648,-0.049041748,0.13967896
1515642465418,-0.5647125,3.1872406,7.10907,-0.0773468,-0.100357056,-0.20484924
1515642465525,-0.007171631,4.0749817,8.140381,-0.29359436,-0.09301758,-0.5762329
1515642465628,0.0765686,4.62294,9.683746,-0.17019653,-0.21765137,-0.6972046
1515642465731,-1.0121613,3.3068848,10.557129,0.14500427,0.34188843,-0.5762329
1515642465835,1.1940155,3.2853394,7.307678,0.49441528,-0.2970581,-0.7448273
1515642465939,-0.5288086,1.9525452,7.779068,0.16821289,-0.2958374,-0.5921173
1515642466042,-1.1006927,3.5844421,7.7527466,-0.276474,-0.30682373,-0.48828125
1515642466146,-2.033905,5.5537415,9.406189,-0.2471466,0.018157959,-0.05456543
1515642466251,-1.179657,5.309677,10.537994,0.2684021,0.047454834,0.09324646
1515642466353,0.13160706,3.3427734,14.277969,0.9207916,-0.41189575,0.85194397
1515642466458,0.48335266,3.1298065,8.997009,0.22686768,-0.049041748,0.12989807
1515642466562,-0.42352295,2.7493591,8.554337,0.2574005,-0.100357056,0.3388214
1515642466664,-0.6197357,3.9218292,7.195221,0.15232849,0.0132751465,0.4805298
1515642466772,0.5024872,5.374283,7.5014954,0.2549591,0.13542175,0.36080933
1515642466875,-0.14356995,5.345566,8.315063,-0.33268738,0.2991333,-0.23414612
