time,accel x,accel y,accel z,gyro y,gyro x,gyro z
1515654173332,3.7695618,7.440918,3.1951141,0.39492798,2.1850586,0.61195374
1515654173435,4.6817474,5.357956,5.3187714,0.1818695,1.6289978,0.5671997
1515654173537,1.8542023,5.3771057,6.657135,1.0777588,1.217804,1.8987885
1515654173640,9.314529,0.38520813,-9.407959,0.556839,0.61380005,0.22312927
1515654173744,-3.2741852,8.310013,4.3658752,0.49079895,-2.4158173,-1.3492126
1515654173847,6.09433,5.618927,3.736206,1.5432739,0.22177124,-1.0370789
1515654173950,0.75764465,9.193466,0.19519043,0.8966675,0.58929443,-0.35424805
1515654174052,2.8717346,9.394577,1.3252411,0.66656494,-0.18196106,-0.37554932
1515654174155,2.8477936,8.83194,0.8583832,0.44073486,0.25053406,-0.6503906
1515654174258,1.8182831,9.997925,-0.94924927,-0.608551,0.41671753,-0.12095642
1515654174360,-0.61901855,11.314728,-1.296402,-2.3822174,0.049209595,0.8921051
1515654174462,5.115097,10.6371765,3.5494537,-0.68418884,1.8036957,1.2649536
1515654174565,0.034606934,7.5031586,2.6013489,0.057235718,2.1317902,1.2308655
1515654174670,3.8940582,9.722595,2.0387115,1.1565857,2.8636322,1.2500458
1515654174773,1.2891693,9.775269,2.510376,0.5387268,2.6772156,1.3427124
1515654174876,5.127075,6.488022,3.4010162,0.92115784,0.7213898,1.7698822
1515654174979,7.566757,5.982849,0.7099304,1.5102539,3.5539246,1.4396515
1515654175081,-1.0092773,28.18428,5.440872,-0.8184204,-1.0874329,-1.0743713
1515654175183,4.047287,20.146942,-2.115219,2.0918884,1.9720001,1.5962524
1515654175285,-0.2311554,9.114456,3.7745209,1.5049286,0.8609314,-0.38833618
1515654175389,0.8605957,8.463242,1.356369,1.1416779,2.570694,-0.11456299
1515654175492,1.7751923,9.272476,0.43699646,0.7358093,1.220993,0.10914612
1515654175594,1.2987366,9.997925,0.92541504,0.7379303,0.27397156,-0.35211182
1515654175697,2.2133179,9.722595,-0.12564087,0.56004333,0.5647888,-0.33720398
1515654175800,2.0050354,9.351486,1.3180695,-0.024795532,-0.13294983,-0.6951294
1515654175903,0.5996399,14.154251,0.18560791,-2.0935364,0.4060669,1.0934448
1515654176006,4.415985,10.239731,4.136032,-0.58618164,0.57225037,1.3714752
1515654176111,0.9372101,6.8902435,1.2630005,-0.18031311,2.1094208,1.0625458
1515654176213,1.2005768,7.393036,3.877472,-0.3720703,1.5214081,1.3171539
1515654176316,4.083191,6.6843414,5.3546906,-0.15794373,0.7959595,1.0305939
1515654176419,3.6378784,6.9022217,4.4401093,0.2841339,1.6449738,1.2574921
1515654176522,4.734421,3.4545746,6.886978,0.9350128,-0.643219,0.5096741
1515654176625,0.69540405,-3.3808746,1.6197357,0.99572754,-0.8765106,-1.7987518
1515654176728,-0.5735321,6.6364594,3.0610352,0.5280762,-0.97984314,-0.9614563
1515654176839,4.0927734,7.258957,3.2765198,1.0447388,-0.676239,-0.7846222
1515654176941,1.3609924,9.064178,0.41305542,0.5334015,-0.8424225,-0.60990906
1515654177044,1.9068604,8.748154,0.55670166,0.6026459,-0.96492004,-0.65571594
1515654177146,1.4663391,10.601257,-0.08972168,-0.20162964,-1.2536163,-0.55770874
1515654177250,-1.3300934,14.786331,-1.3323212,-0.7225342,0.61486816,1.1062317
