timestamp(unix),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),user_acc_x(G),user_acc_y(G),user_acc_z(G),timestamp(unix),User Mark
1515650027,-0.359906,-0.464984,0.169662,0.122676,-0.076141,-0.047726,,
1515650027,-0.152611,-0.367668,0.086985,0.059729,-0.018444,-0.06506,,
1515650027,0.012114,-0.149132,0.028147,0.048822,-0.006065,-0.013367,,
1515650027,0.161126,-0.008809,-0.131796,-0.007253,-0.00816,-0.022834,,
1515650028,0.249614,-0.069496,-0.281215,-0.004385,-0.014022,-0.074398,,
1515650028,0.185729,0.006476,-0.218018,0.057687,-0.021699,-0.011476,,
1515650028,0.028142,0.050838,-0.04278,0.059373,-0.03592,0.027576,,
1515650028,-0.078423,0.049151,0.123612,0.059973,-0.031564,0.016716,,
1515650028,-0.027484,0.144823,0.138447,-0.028775,0.019789,0.002973,,
1515650028,0.070306,0.105355,0.115569,-0.016151,-0.017359,-0.030721,,
1515650028,0.08532,0.134555,0.041118,-0.009362,-0.000271,0.002668,,
1515650028,-0.02718,0.053845,-0.002103,-0.008042,-0.016698,0.009793,,
1515650028,-0.117434,-0.082751,-0.007262,0.020566,0.002054,-0.022994,,
1515650028,-0.135386,-0.266385,-0.038382,-0.00238,0.00392,-0.041293,,
1515650028,-0.151141,-0.470345,-0.103575,-0.014418,0.008651,-0.047018,,
1515650028,-0.155316,-0.528286,-0.133446,0.00746,-0.01252,-0.041598,,
1515650028,-0.145723,-0.345589,-0.171415,0.001431,-0.026944,-0.038751,,
1515650028,-0.154305,-0.20711,-0.14664,0.019512,-0.032147,-0.014877,,
1515650028,-0.264844,-0.164449,-0.123694,0.021955,-0.032727,0.052561,,
1515650028,-0.469722,-0.265728,-0.186721,-0.044293,0.061451,0.066958,,
1515650028,-0.579186,-0.237017,-0.168063,-0.010122,-0.0476,0.067833,,
1515650028,-0.411455,-0.109998,-0.125015,0.009925,-0.041471,-0.003823,,
1515650028,0.017526,0.084127,-0.050106,-0.004324,-0.029643,-0.055791,,
1515650028,0.314839,0.095383,0.017616,-0.00458,0.031797,-0.030588,,
1515650028,0.381682,0.024532,0.068197,0.007041,0.028279,-0.023338,,
1515650028,0.33593,0.011457,0.105606,0.039608,-0.004494,-0.027417,,
1515650028,0.199799,0.001309,0.183862,0.074585,-0.036602,-0.018829,,
1515650028,0.183626,0.074062,0.293614,0.13879,-0.164038,-0.027388,,
1515650028,0.079761,0.05906,0.17392,-0.01456,0.126176,0.001596,,
1515650028,0.105384,0.155953,0.098488,-0.025281,-0.016497,-0.020505,,
1515650028,0.139616,0.087537,-0.011342,-0.065312,0.025724,-0.052953,,
1515650028,0.056818,0.032631,-0.036576,-0.028037,0.035809,-0.016169,,
1515650028,-0.134376,-0.194459,-0.021228,-0.006354,-0.016747,0.031243,,
1515650028,-0.326638,-0.298007,-0.018388,0.022749,-0.00234,0.06072,,
1515650028,-0.36192,-0.296192,0.0945,0.045153,0.009761,0.021533,,
1515650028,-0.051002,0.057584,0.22239,0.08424,0.00443,-0.030895,,
1515650028,0.058266,0.313354,0.26704,0.064924,0.008416,0.07189,,
1515650028,-0.046361,0.000019,0.034033,-0.05717,-0.050122,-0.048359,,
1515650028,-0.242692,-0.256969,-0.033602,0.030588,-0.065649,-0.033053,,
1515650028,-0.316235,-0.331537,0.096338,0.089383,-0.07171,-0.017097,,
1515650028,-0.222041,-0.181312,0.254627,0.095903,-0.091238,-0.012837,,
1515650028,-0.132967,-0.127575,0.327691,0.069971,-0.071923,-0.016701,,
1515650028,-0.060874,-0.03948,0.389202,0.053785,-0.053831,0.01861,,
1515650028,-0.006949,0.043082,0.506078,0.056573,-0.02225,0.02497,,
1515650028,0.075664,0.235297,0.607083,0.006828,0.054296,0.069678,,
1515650028,-0.006656,0.073493,0.356198,-0.218341,0.207538,0.090438,,
1515650028,0.036274,0.002098,0.147422,-0.095614,-0.147729,-0.091569,,
1515650028,0.038546,0.018384,0.071943,-0.005548,-0.024003,0.021023,,
1515650028,-0.059448,0.00498,0.203182,0.035228,-0.021795,0.040754,,
1515650028,-0.049999,-0.062808,0.266808,-0.000404,0.005079,-0.012609,,
1515650028,0.053248,-0.034417,0.16322,-0.008206,0.021932,-0.038799,,
1515650028,0.220348,-0.250708,0.032264,-0.047855,-0.06022,-0.11888,,
1515650028,0.255612,-0.096764,-0.089889,-0.045698,0.034077,-0.013559,,
1515650028,0.216397,-0.083857,-0.136474,-0.022162,0.054159,-0.037795,,
1515650029,0.288456,-0.18596,-0.034928,0.05345,0.018136,-0.097536,,
1515650029,0.372573,0.044358,-0.159293,-0.029579,0.139917,-0.047906,,
1515650029,0.465454,0.150368,-0.400918,-0.133428,0.094248,-0.010569,,
1515650029,0.559193,0.060619,-0.517449,-0.041485,0.033738,-0.023173,,
1515650029,0.614367,0.087526,-0.486823,-0.000502,0.046354,0.000377,,
1515650029,0.544868,0.008439,-0.253763,0.059021,-0.023022,0.021363,,
1515650029,0.206971,-0.266485,0.34812,0.258742,-0.287446,0.048981,,
1515650029,-0.181888,-0.11378,0.354523,-0.022027,0.163526,0.111599,,
1515650029,-0.321021,-0.036703,0.328757,0.022055,-0.004987,0.010819,,
1515650029,-0.178572,-0.000821,0.276044,0.015791,-0.016848,-0.017213,,
1515650029,-0.064873,0.098309,0.248057,0.023506,-0.035815,0.039386,,
1515650029,-0.24106,0.157182,0.161811,-0.004282,0.000938,0.103064,,
1515650029,-0.474465,0.249396,-0.00278,-0.019663,-0.059765,0.142703,,
1515650029,-0.424599,0.278444,0.025748,0.021163,-0.026793,0.051124,,
1515650029,-0.223023,0.27645,0.158768,0.052038,-0.021366,-0.028,,
1515650029,-0.302798,0.19021,0.21959,0.018925,-0.002958,0.003641,,
1515650029,-0.559487,-0.138676,0.062783,-0.079888,-0.02787,0.060551,,
1515650029,-0.307902,-0.36286,0.183426,0.059344,0.024542,-0.097632,,
1515650029,0.016074,-0.54481,0.221933,0.022558,0.025332,-0.124781,,
1515650029,-0.042055,-0.512375,0.069142,-0.001282,0.014216,0.024686,,
1515650029,-0.108911,-0.249229,0.001924,-0.01638,0.016607,0.030417,,
1515650029,-0.193932,-0.021697,-0.007856,0.049196,-0.063016,0.036681,,
1515650029,-0.381089,0.131305,0.066718,0.007174,0.026511,0.124269,,
1515650029,-0.39844,0.11905,0.244369,0.063177,-0.006767,0.061143,,
1515650029,-0.296198,-0.030839,0.134046,0.000503,-0.039513,-0.008972,,
1515650029,-0.28178,-0.165492,-0.1534,-0.048631,-0.031551,0.00607,,
1515650029,-0.167703,-0.222793,-0.349725,-0.009016,-0.062085,-0.02674,,
1515650029,-0.204657,-0.208653,-0.465428,-0.025352,0.084327,0.042763,,
1515650029,-0.123713,0.142956,-0.081235,0.089391,0.076173,-0.008936,,
1515650029,-0.036072,0.2747,0.168507,0.00116,-0.002564,-0.04752,,
1515650029,-0.077503,0.18651,0.179165,-0.080376,0.010807,0.002097,,
1515650029,-0.115451,-0.024891,0.057696,-0.12145,-0.021153,0.009225,,
1515650029,-0.227893,-0.160327,-0.007969,-0.14348,0.074329,0.089615,,
1515650029,-0.322986,-0.253548,0.276226,-0.066325,0.103807,0.098209,,
1515650029,-0.083346,-0.266402,0.499437,-0.069291,0.127773,0.109747,,
1515650029,0.361749,-0.463105,0.533083,-0.142452,0.131881,0.148313,,
,,,,,,,1515650034,
,,,,,,,1515650040,
